Airline,Source,Destination,Stops,Info,Day,Month,Total Distance,Duration Total,Price
Jet Airways,DEL,COK,2,,21,5,2263.95,780,15129
SpiceJet,CCU,BLR,0,2.0,1,5,1547.27,120,3841
IndiGo,CCU,BLR,0,,24,6,1547.27,120,4804
SpiceJet,BLR,DEL,0,2.0,12,4,1709.71,120,4319
Jet Airways,DEL,COK,1,,27,5,2201.6,1260,16079
Jet Airways,BLR,DEL,1,,18,3,1971.87,360,54826
IndiGo,DEL,COK,1,,9,3,2201.6,480,12351
Jet Airways,CCU,BLR,1,,6,5,3022.67,1560,13067
Jet Airways,BLR,DEL,1,,12,3,1971.87,720,13817
SpiceJet,BLR,DEL,0,,21,5,1709.71,120,3625
Air India,BOM,HYD,3,,12,3,2577.12,1740,18293
Vistara,BLR,DEL,0,,1,4,1709.71,120,5613
Air India,DEL,COK,1,,6,3,2077.09,1560,11038
IndiGo,BLR,DEL,0,,3,4,1709.71,120,4077
Multiple carriers,DEL,COK,1,,27,3,2201.6,780,6883
Air India,BLR,DEL,0,,3,3,1709.71,120,19508
Air India,BLR,DEL,1,,15,3,1971.87,840,8714
IndiGo,CCU,BLR,0,,1,5,1547.27,120,4804
Multiple carriers,DEL,COK,1,,3,3,2201.6,420,15078
SpiceJet,CCU,BLR,0,2.0,21,4,1547.27,120,4807
Multiple carriers,DEL,COK,3,,6,3,2313.05,540,21829
Vistara,BLR,DEL,0,,24,3,1709.71,120,5403
Jet Airways,BLR,DEL,1,,1,3,1971.87,540,26890
GoAir,CCU,BLR,1,,18,5,2500.36,480,7335
Jet Airways,DEL,COK,2,1.0,27,3,3860.0299999999997,600,9412
Jet Airways,CCU,BLR,1,1.0,21,5,2500.36,660,10844
IndiGo,BLR,DEL,0,,6,6,1709.71,120,4990
Jet Airways,DEL,COK,2,,27,5,2263.95,1740,16704
Air India,DEL,COK,2,,9,4,2600.67,2220,7711
Jet Airways,DEL,COK,1,1.0,3,6,2201.6,600,10262
Multiple carriers,DEL,COK,1,1.0,24,6,2201.6,480,6007
Air India,CCU,BLR,2,,1,4,3332.1,1200,12219
GoAir,BLR,DEL,0,,1,5,1709.71,120,3898
Jet Airways,CCU,BLR,1,,6,5,3022.67,1740,11467
Air India,CCU,BLR,2,,18,5,3295.61,720,12534
Jet Airways,CCU,BLR,1,1.0,6,6,2500.36,540,10844
SpiceJet,BLR,DEL,0,,24,3,1709.71,120,4377
Vistara,MAA,CCU,0,,9,6,1387.26,120,11982
SpiceJet,BLR,DEL,0,,9,6,1709.71,120,4423
Jet Airways,DEL,COK,1,,3,3,2201.6,540,17234
Vistara,CCU,BLR,1,,1,4,3022.67,900,8295
Jet Airways,DEL,COK,2,1.0,6,3,2206.24,2280,15864
GoAir,BLR,DEL,0,,27,5,1709.71,120,3398
Multiple carriers,DEL,COK,1,,9,6,2201.6,720,7198
Jet Airways,BLR,DEL,0,,6,4,1709.71,120,7229
Jet Airways,DEL,COK,2,,12,6,2206.24,1320,13014
Air India,CCU,BLR,1,,9,5,1654.62,1440,6528
Jet Airways,DEL,COK,2,,12,6,2232.34,1620,13292
Jet Airways,DEL,COK,2,,21,5,2263.95,1380,15129
Air India,DEL,COK,2,,15,6,2308.95,1380,11071
SpiceJet,CCU,BLR,0,,21,4,1547.27,120,4174
Multiple carriers,DEL,COK,1,,27,3,2201.6,840,11299
Jet Airways,DEL,COK,1,1.0,18,5,2201.6,960,12373
Air India,BLR,DEL,1,,1,3,2860.23,1620,13439
IndiGo,CCU,BLR,0,,1,5,1547.27,120,4804
Air India,CCU,BLR,2,,12,5,2573.87,1200,11642
IndiGo,BLR,DEL,0,,18,6,1709.71,120,3419
IndiGo,CCU,BLR,2,,21,5,1726.23,300,6103
Air India,CCU,BLR,2,,9,5,3728.94,1080,13033
Jet Airways,BLR,DEL,2,1.0,18,3,2106.1400000000003,420,11245
Jet Airways,CCU,BLR,1,1.0,1,4,2500.36,300,10056
Jet Airways,CCU,BLR,1,1.0,6,6,3022.67,1080,10539
IndiGo,MAA,CCU,0,,18,3,1387.26,120,5277
Air India,CCU,BLR,1,,21,5,3022.67,780,11936
Jet Airways,DEL,COK,2,,9,6,2206.24,1320,13014
Vistara,CCU,BLR,1,,6,6,3022.67,1620,8820
Jet Airways,DEL,COK,1,1.0,9,5,2201.6,1260,12373
Jet Airways,DEL,COK,1,1.0,1,6,2201.6,1620,10262
Jet Airways,BOM,HYD,0,1.0,3,6,623.54,60,4995
Jet Airways,DEL,COK,1,1.0,27,3,2201.6,1260,7438
IndiGo,CCU,BLR,0,,21,3,1547.27,120,4148
IndiGo,MAA,CCU,0,,27,5,1387.26,120,3597
Air Asia,CCU,BLR,1,,1,5,3022.67,900,5192
Jet Airways,BLR,DEL,1,,6,3,1971.87,720,16736
Multiple carriers,DEL,COK,1,,1,6,2201.6,480,7933
Air India,DEL,COK,1,,18,5,2201.6,660,8879
IndiGo,DEL,COK,0,,12,5,2048.6,180,5000
Vistara,CCU,BLR,1,,6,5,3022.67,960,8137
Air India,DEL,COK,2,,9,3,4043.05,1560,22096
SpiceJet,BLR,DEL,0,2.0,24,3,1709.71,120,4273
Jet Airways,BLR,DEL,1,,1,3,1971.87,360,35185
IndiGo,CCU,BLR,1,,15,4,1547.97,180,4226
Jet Airways,CCU,BLR,1,1.0,1,5,2500.36,420,10844
IndiGo,BOM,HYD,0,,12,6,623.54,60,2754
IndiGo,CCU,BLR,1,,6,6,1549.7600000000002,300,6301
Air India,CCU,BLR,2,,18,5,3097.4700000000003,1680,13222
Jet Airways,DEL,COK,1,1.0,21,5,2201.6,1140,12898
Air India,BLR,DEL,1,,12,3,1971.87,780,12127
Jet Airways,CCU,BLR,1,,21,5,3022.67,1500,13067
Air India,CCU,BLR,2,,1,4,3664.88,1620,9920
GoAir,BLR,DEL,0,,1,4,1709.71,120,4239
Jet Airways,DEL,COK,1,,6,6,2201.6,1260,14714
IndiGo,CCU,BLR,1,,6,5,1874.71,300,6218
IndiGo,MAA,CCU,0,,1,3,1387.26,120,7295
Multiple carriers,DEL,COK,1,,9,6,2201.6,420,7408
Jet Airways,CCU,BLR,1,1.0,9,6,3022.67,480,13994
IndiGo,CCU,BLR,0,,15,5,1547.27,120,5224
SpiceJet,BOM,HYD,0,,9,3,623.54,60,4391
Air India,CCU,BLR,2,,18,5,3290.72,1140,14109
SpiceJet,BLR,DEL,0,2.0,27,4,1709.71,120,4885
Jet Airways,BLR,DEL,0,,1,6,1709.71,180,8016
Multiple carriers,DEL,COK,1,,24,6,2201.6,360,12524
Jet Airways,DEL,COK,1,1.0,27,3,2201.6,960,6017
Air India,DEL,COK,2,,9,5,2993.1899999999996,1260,10441
SpiceJet,BLR,DEL,0,,1,4,1709.71,120,3625
Air India,DEL,COK,3,,9,3,2971.24,2280,15586
Air India,DEL,COK,1,,27,3,2201.6,660,7199
Jet Airways,DEL,COK,2,,21,3,2648.88,1320,12273
Multiple carriers,DEL,COK,1,,6,6,2201.6,360,7530
Jet Airways,BOM,HYD,0,,21,5,623.54,60,5678
Air India,DEL,COK,2,,24,6,2993.1899999999996,1200,11753
SpiceJet,BOM,HYD,0,2.0,21,5,623.54,60,1965
IndiGo,DEL,COK,1,,21,3,2201.6,360,10208
IndiGo,DEL,COK,1,,21,5,2201.6,300,5054
IndiGo,DEL,COK,1,,3,3,2201.6,420,14871
Jet Airways,DEL,COK,1,1.0,18,5,2201.6,660,12373
SpiceJet,BOM,HYD,0,,15,6,623.54,60,2017
Jet Airways,CCU,BLR,1,1.0,24,3,2500.36,840,10661
Multiple carriers,DEL,COK,1,,9,5,2201.6,480,9794
Jet Airways,CCU,BLR,1,,9,5,3022.67,1620,13067
SpiceJet,MAA,CCU,0,,3,3,1387.26,120,7298
IndiGo,BLR,DEL,0,,3,3,1709.71,120,7648
Air India,CCU,BLR,2,,12,5,2578.2,540,10676
Air India,BLR,DEL,0,,3,6,1709.71,120,6961
IndiGo,DEL,COK,1,,15,5,2201.6,840,6979
Multiple carriers,DEL,COK,1,,27,5,2201.6,720,13587
Jet Airways,CCU,BLR,1,1.0,24,5,2500.36,540,10844
IndiGo,BLR,DEL,0,,12,5,1709.71,120,3943
IndiGo,DEL,COK,1,,12,6,2201.6,660,6838
Jet Airways,DEL,COK,1,1.0,15,4,2201.6,360,6542
Jet Airways,DEL,COK,1,1.0,21,5,2201.6,660,12239
Jet Airways,CCU,BLR,1,,12,5,2500.36,720,14388
IndiGo,CCU,BLR,0,,12,3,1547.27,120,4148
Multiple carriers,DEL,COK,2,,18,5,2232.34,600,16840
Multiple carriers,DEL,COK,1,,3,6,2084.71,720,9646
Jet Airways,CCU,BLR,1,,9,6,2500.36,1260,14571
IndiGo,DEL,COK,1,,15,5,2201.6,540,7923
Jet Airways,CCU,BLR,1,1.0,12,5,2500.36,480,8586
Multiple carriers,DEL,COK,1,,3,6,2084.71,540,9646
Jet Airways,CCU,BLR,1,,18,5,2500.36,1260,14388
Jet Airways,CCU,BLR,1,,12,6,2500.36,1380,13044
Multiple carriers,DEL,COK,1,,21,5,2201.6,540,10197
Jet Airways,DEL,COK,1,,1,6,2201.6,1380,14714
Air India,DEL,COK,1,,1,6,2201.6,540,9929
Jet Airways,DEL,COK,1,1.0,21,3,2201.6,300,6017
SpiceJet,MAA,CCU,0,,27,6,1387.26,120,3597
Air India,DEL,COK,1,,21,3,2077.09,540,5704
Jet Airways,DEL,COK,1,,3,6,2201.6,480,14714
Air India,BLR,DEL,0,,12,5,1709.71,120,5228
Jet Airways,CCU,BLR,1,,1,4,3022.67,1500,11467
Vistara,BLR,DEL,0,,6,6,1709.71,120,4668
IndiGo,BLR,DEL,0,,18,4,1709.71,180,4591
IndiGo,BLR,DEL,0,,12,5,1709.71,180,3943
Air India,BLR,DEL,0,,21,4,1709.71,120,5228
Jet Airways,DEL,COK,1,,27,3,2201.6,960,12242
Air India,DEL,COK,2,,9,6,2292.0699999999997,1560,11185
IndiGo,DEL,COK,1,,9,4,2201.6,960,6573
Jet Airways,CCU,BLR,1,,15,5,2500.36,360,14781
Air India,CCU,BLR,2,,12,6,3664.88,960,14960
IndiGo,MAA,CCU,0,,15,5,1387.26,120,4332
Air Asia,BLR,DEL,0,,3,3,1709.71,120,7652
Jet Airways,CCU,BLR,1,,24,5,3022.67,660,14151
SpiceJet,BLR,DEL,0,2.0,12,6,1709.71,120,4319
Jet Airways,DEL,COK,2,,21,3,2263.95,1380,10929
Air India,CCU,BLR,2,,24,3,3201.6400000000003,1620,11491
IndiGo,DEL,COK,0,,18,4,2048.6,180,6015
Jet Airways,CCU,BLR,1,,12,6,3022.67,660,12692
Air Asia,CCU,BLR,0,,9,3,1547.27,120,4384
IndiGo,BLR,DEL,0,,3,6,1709.71,120,3943
Jet Airways,DEL,COK,1,1.0,18,5,2201.6,600,12373
Jet Airways,BLR,DEL,1,,6,3,1971.87,300,19225
Jet Airways,DEL,COK,1,1.0,9,3,2201.6,1380,14053
Air India,BLR,DEL,0,,12,4,1709.71,120,5911
Multiple carriers,DEL,COK,1,,9,6,2201.6,720,10877
Jet Airways,CCU,BLR,1,1.0,6,6,2500.36,540,7757
IndiGo,DEL,COK,1,,21,3,2084.71,480,6558
IndiGo,CCU,BLR,0,,21,4,1547.27,120,4804
Jet Airways,BOM,HYD,0,,18,3,623.54,60,5678
Jet Airways,DEL,COK,1,1.0,9,5,2201.6,1080,12373
Jet Airways,BLR,DEL,0,1.0,6,5,1709.71,120,5198
IndiGo,CCU,BLR,0,,1,6,1547.27,120,6064
Jet Airways,DEL,COK,1,,9,3,2201.6,360,15029
Jet Airways,DEL,COK,2,,9,4,2206.24,780,10909
Multiple carriers,DEL,COK,1,,9,3,2201.6,660,18492
Jet Airways,DEL,COK,1,1.0,24,6,2201.6,1560,10262
Jet Airways,CCU,BLR,1,,18,5,2538.47,300,8781
IndiGo,DEL,COK,1,,27,5,2084.71,420,6442
Jet Airways,BOM,HYD,1,,12,3,2404.77,360,20120
Vistara,BLR,DEL,0,,27,5,1709.71,120,4878
Jet Airways,BLR,DEL,1,,6,3,1971.87,720,16736
SpiceJet,CCU,BLR,1,,24,5,2311.75,420,9630
Vistara,CCU,BLR,1,,9,5,3022.67,660,8610
Vistara,MAA,CCU,0,,27,6,1387.26,120,3687
Vistara,CCU,BLR,1,,15,5,3022.67,720,8452
IndiGo,BLR,DEL,0,,18,5,1709.71,120,3943
IndiGo,BOM,HYD,0,,15,3,623.54,60,3342
Jet Airways,CCU,BLR,1,,12,5,3022.67,1080,13067
Vistara,BLR,DEL,0,,6,5,1709.71,120,4878
Jet Airways,CCU,BLR,1,,9,5,2500.36,720,14388
Jet Airways,DEL,COK,2,,27,5,2263.95,900,16704
Air India,BOM,HYD,0,,21,5,623.54,60,3100
Air India,BLR,DEL,3,,12,3,2083.3199999999997,1440,13387
IndiGo,BOM,HYD,0,,9,6,623.54,60,4049
Jet Airways,DEL,COK,2,1.0,18,5,2206.24,780,13029
SpiceJet,BLR,DEL,0,2.0,9,4,1709.71,120,3919
IndiGo,MAA,CCU,0,,3,5,1387.26,120,3850
Air India,DEL,COK,2,,24,6,2292.0699999999997,1200,8839
Jet Airways,CCU,BLR,1,1.0,1,4,2500.36,720,7064
Jet Airways,CCU,BLR,1,,12,5,2500.36,720,13941
Air India,CCU,BLR,3,,24,5,4087.1899999999996,1440,13007
Jet Airways,CCU,BLR,1,,18,5,2500.36,480,14781
Jet Airways,BOM,HYD,0,1.0,18,3,623.54,60,2071
Jet Airways,DEL,COK,0,1.0,21,6,2048.6,180,4256
Vistara,BLR,DEL,0,,9,3,1709.71,120,7923
Air Asia,CCU,BLR,0,,15,3,1547.27,120,3782
Jet Airways,CCU,BLR,1,1.0,15,5,3022.67,780,12384
Multiple carriers,DEL,COK,1,1.0,21,3,2201.6,900,8565
IndiGo,DEL,COK,1,,21,3,2201.6,300,6232
IndiGo,BLR,DEL,0,,9,3,1709.71,120,4777
Air India,CCU,BLR,0,,1,6,1547.27,120,4145
Air Asia,CCU,BLR,1,,15,5,3022.67,720,5192
Air India,DEL,COK,0,,1,4,2048.6,120,4729
IndiGo,DEL,COK,1,,3,6,2201.6,840,6093
Air India,CCU,BLR,1,,1,5,2500.36,540,8891
Jet Airways,DEL,COK,1,,27,3,2201.6,720,12242
Jet Airways,CCU,BLR,1,,1,5,3022.67,1500,11467
Jet Airways,CCU,BLR,1,,21,5,2500.36,720,14781
Multiple carriers,DEL,COK,1,,18,5,2201.6,720,10197
Jet Airways,BLR,DEL,1,,6,3,1971.87,720,17261
Air India,DEL,COK,1,,1,5,2278.33,720,7480
IndiGo,CCU,BLR,0,,21,5,1547.27,120,4804
SpiceJet,CCU,BLR,0,2.0,21,4,1547.27,120,4439
Jet Airways,DEL,COK,2,1.0,6,6,2206.24,1320,10368
SpiceJet,DEL,COK,1,,21,3,2278.33,300,6065
Jet Airways,CCU,BLR,1,1.0,24,5,2500.36,540,8586
IndiGo,DEL,COK,0,,18,3,2048.6,180,5406
Jet Airways,DEL,COK,2,1.0,6,6,2220.7799999999997,600,12142
Jet Airways,DEL,COK,1,,6,6,2201.6,600,14714
Jet Airways,DEL,COK,1,1.0,15,6,2201.6,1560,10262
Air India,BLR,DEL,1,,6,3,2028.8899999999999,720,15434
Air India,CCU,BLR,2,,18,5,2578.2,1380,10676
IndiGo,CCU,BLR,0,,21,4,1547.27,120,4804
Jet Airways,DEL,COK,2,,9,6,2206.24,1020,13014
IndiGo,BLR,DEL,0,,3,5,1709.71,120,3943
Air India,BOM,HYD,2,,6,3,2088.8999999999996,960,9678
Jet Airways,CCU,BLR,1,,15,5,2500.36,660,14781
Multiple carriers,DEL,COK,1,,15,5,2201.6,600,10197
Air India,DEL,COK,2,,9,5,2308.95,780,10861
Jet Airways,CCU,BLR,1,1.0,1,5,2500.36,420,10844
Air India,DEL,COK,1,,21,5,2278.33,960,7480
IndiGo,DEL,COK,1,,24,6,2201.6,480,5684
Jet Airways,DEL,COK,1,,6,6,2201.6,1620,14714
Jet Airways,CCU,BLR,1,1.0,1,4,3022.67,480,9314
Air India,CCU,BLR,0,,15,3,1547.27,120,4435
Multiple carriers,DEL,COK,1,,27,6,2201.6,660,11789
SpiceJet,BLR,DEL,0,2.0,3,4,1709.71,120,3919
Jet Airways,BLR,DEL,0,1.0,6,4,1709.71,120,5198
SpiceJet,BLR,DEL,0,2.0,24,3,1709.71,120,4273
Vistara,CCU,BLR,1,,9,5,3022.67,1500,8820
IndiGo,BOM,HYD,0,,6,5,623.54,60,2754
Vistara,CCU,BLR,1,,9,6,3022.67,1620,8085
Jet Airways,CCU,BLR,1,1.0,9,6,3022.67,1440,10539
Jet Airways,CCU,BLR,1,,9,6,3022.67,720,14676
Jet Airways,DEL,COK,1,1.0,27,3,2201.6,1560,6017
Jet Airways,BLR,DEL,0,1.0,1,4,1709.71,180,4544
Trujet,BOM,HYD,1,,6,3,714.95,180,4140
Jet Airways,BLR,DEL,0,,3,5,1709.71,120,7229
Air India,DEL,COK,2,,9,3,2993.1899999999996,1260,16373
Air India,CCU,BLR,2,,1,5,3045.77,1020,10991
Jet Airways,CCU,BLR,1,1.0,18,5,2500.36,1260,9663
Air India,BLR,DEL,1,4.0,1,3,2415.98,1500,14305
Air Asia,DEL,COK,1,,15,5,2077.09,840,6752
Jet Airways,CCU,BLR,1,1.0,12,6,2500.36,960,8529
IndiGo,DEL,COK,0,,27,3,2048.6,180,4729
Multiple carriers,DEL,COK,1,,18,5,2201.6,720,7670
Jet Airways,BOM,HYD,0,1.0,3,5,623.54,60,4995
Jet Airways,BLR,DEL,0,,1,5,1709.71,180,7229
IndiGo,BLR,DEL,0,,27,4,1709.71,120,4823
Air Asia,CCU,BLR,0,,27,3,1547.27,120,3782
Jet Airways,DEL,COK,1,1.0,21,5,2201.6,1440,12898
SpiceJet,CCU,BLR,0,2.0,24,5,1547.27,120,3841
Multiple carriers,DEL,COK,1,,18,5,2201.6,480,9627
Jet Airways,CCU,BLR,1,,9,6,2500.36,840,14571
IndiGo,CCU,BLR,0,,24,3,1547.27,120,6985
Jet Airways,BOM,HYD,0,,21,6,623.54,60,8040
IndiGo,CCU,BLR,0,,21,6,1547.27,120,4804
Multiple carriers,DEL,COK,1,,27,6,2201.6,840,10678
Jet Airways,CCU,BLR,1,,24,3,2500.36,1500,14231
Jet Airways,CCU,BLR,1,1.0,12,6,2500.36,1200,8529
Air India,DEL,COK,2,,24,6,2993.1899999999996,480,11753
Jet Airways,DEL,COK,2,,18,5,2263.95,1740,16704
Jet Airways,CCU,BLR,1,,6,6,2500.36,540,13374
Air India,BOM,HYD,0,,1,5,623.54,60,3625
Jet Airways,DEL,COK,1,,21,5,2201.6,1620,16079
Jet Airways,DEL,COK,1,1.0,27,6,2201.6,900,10262
Jet Airways,CCU,BLR,1,1.0,15,5,2500.36,300,9663
Multiple carriers,DEL,COK,1,,18,5,2201.6,420,9595
IndiGo,CCU,BLR,0,,24,6,1547.27,120,4804
Air India,CCU,BLR,2,,9,6,3290.72,1140,12744
Air India,BLR,DEL,0,,1,6,1709.71,120,6961
Jet Airways,CCU,BLR,1,1.0,6,5,2500.36,840,9663
Multiple carriers,DEL,COK,1,,21,5,2201.6,480,7575
Air India,BLR,DEL,2,,3,3,2370.94,900,13355
Air India,CCU,BLR,2,,24,5,3097.4700000000003,1680,12592
Air India,BOM,HYD,0,,1,6,623.54,60,3625
Jet Airways,DEL,COK,1,1.0,24,6,2201.6,780,10262
Air India,DEL,COK,2,,21,5,2263.95,1380,9443
Air India,DEL,COK,1,,9,3,2201.6,600,18959
IndiGo,BOM,HYD,0,,3,3,623.54,60,4784
Air India,CCU,BLR,1,,1,4,3022.67,1080,7893
Air India,DEL,COK,2,,27,6,4043.05,1440,14431
Jet Airways Business,BLR,DEL,1,5.0,1,3,1971.87,300,79512
Jet Airways,BOM,HYD,0,1.0,24,5,623.54,60,3210
Multiple carriers,DEL,COK,1,,9,3,2201.6,900,13677
Air India,DEL,COK,1,,27,5,2278.33,1620,7480
Air India,DEL,COK,1,,24,6,2201.6,720,8372
Jet Airways,DEL,COK,2,,27,3,2232.34,1380,11664
Air India,BLR,DEL,0,,18,6,1709.71,120,6961
Air India,BLR,DEL,0,,24,4,1709.71,120,6121
Air India,BLR,DEL,0,,12,4,1709.71,120,5911
GoAir,BLR,DEL,0,,6,5,1709.71,120,3398
Multiple carriers,DEL,COK,1,,9,6,2201.6,360,7530
GoAir,BLR,DEL,0,,24,5,1709.71,120,3419
Vistara,BLR,DEL,0,,24,3,1709.71,120,6558
Air India,CCU,BLR,1,,9,6,3022.67,1380,10203
Jet Airways,BLR,DEL,1,1.0,12,3,1971.87,1500,11087
SpiceJet,BLR,DEL,0,,24,3,1709.71,120,5575
Air Asia,DEL,COK,1,,24,4,2077.09,840,6152
Jet Airways,CCU,BLR,1,1.0,9,5,2538.47,420,5608
Jet Airways,BLR,DEL,1,,6,3,1971.87,1320,17261
Jet Airways,DEL,COK,2,,9,5,2206.24,1560,15129
GoAir,BLR,DEL,0,,6,5,1709.71,120,3419
IndiGo,DEL,COK,1,,21,3,2201.6,240,6218
Jet Airways,DEL,COK,1,,3,6,2201.6,600,14714
Multiple carriers,DEL,COK,1,,3,6,2201.6,420,14848
Jet Airways,CCU,BLR,1,,12,5,2538.47,420,9358
Air India,CCU,BLR,1,,6,5,2500.36,1320,8366
Multiple carriers,DEL,COK,1,1.0,6,3,2201.6,420,15342
Jet Airways,BOM,HYD,0,,21,3,623.54,60,5678
IndiGo,CCU,BLR,0,,6,5,1547.27,120,4804
Jet Airways,CCU,BLR,1,,24,5,2500.36,420,14571
Jet Airways,CCU,BLR,1,,1,4,2500.36,720,12681
Jet Airways,BLR,DEL,1,,6,3,1971.87,780,17261
Vistara,CCU,BLR,1,,9,6,3022.67,1020,9922
Jet Airways,CCU,BLR,1,1.0,18,5,2500.36,1020,10844
SpiceJet,BLR,DEL,0,,21,4,1709.71,120,4423
IndiGo,BLR,DEL,0,,24,5,1709.71,120,3419
Jet Airways,DEL,COK,1,,24,6,2201.6,300,14714
Jet Airways,BLR,DEL,1,1.0,9,3,1971.87,300,11087
IndiGo,DEL,COK,1,,27,6,2201.6,540,6316
SpiceJet,MAA,CCU,0,2.0,27,5,1387.26,120,3543
Jet Airways,CCU,BLR,1,,6,6,2500.36,1020,14571
Jet Airways,CCU,BLR,1,,9,6,3022.67,480,14676
Jet Airways,BLR,DEL,1,,6,3,1971.87,960,17261
Jet Airways,CCU,BLR,1,,15,5,2500.36,900,13941
Air India,DEL,COK,1,,3,3,2077.09,1560,13348
Jet Airways,BLR,DEL,0,,18,6,1709.71,120,8016
Jet Airways,DEL,COK,1,1.0,27,5,2201.6,300,12898
Jet Airways,BLR,DEL,0,,9,4,1709.71,180,7229
SpiceJet,BOM,HYD,0,,27,6,623.54,60,2017
Jet Airways,BLR,DEL,1,,6,3,1971.87,660,16736
SpiceJet,CCU,BLR,0,,18,6,1547.27,120,3873
IndiGo,DEL,COK,1,,9,5,2084.71,480,6704
Jet Airways,CCU,BLR,1,1.0,6,6,2500.36,1440,10844
Vistara,BLR,DEL,0,,9,3,1709.71,120,7450
Jet Airways,BLR,DEL,1,,6,3,1971.87,720,16736
Jet Airways,DEL,COK,1,1.0,15,6,2201.6,1260,10262
Air India,CCU,BLR,2,,1,5,3045.77,2040,10991
SpiceJet,BLR,DEL,0,,6,6,1709.71,120,3311
IndiGo,DEL,COK,1,,24,5,2201.6,840,7081
IndiGo,BLR,DEL,0,,27,4,1709.71,180,3943
Air India,DEL,COK,1,,21,5,2201.6,360,8372
Air India,DEL,COK,2,,9,3,2263.95,1380,11701
Jet Airways,BLR,DEL,0,1.0,3,6,1709.71,120,5769
Multiple carriers,DEL,COK,2,,12,6,2232.34,600,15965
SpiceJet,BLR,DEL,0,,12,6,1709.71,120,4423
Jet Airways,BLR,DEL,1,1.0,15,3,2028.8899999999999,240,6136
Jet Airways,BLR,DEL,1,1.0,12,3,1971.87,360,11087
IndiGo,MAA,CCU,0,,3,6,1387.26,120,3540
Jet Airways,DEL,COK,1,1.0,21,5,2201.6,840,12898
IndiGo,BLR,DEL,0,,18,4,1709.71,120,4591
Air India,DEL,COK,1,,24,3,2201.6,1620,8635
Jet Airways,DEL,COK,1,,27,6,2201.6,600,14714
Jet Airways,CCU,BLR,1,,18,5,3022.67,1320,14151
Multiple carriers,DEL,COK,1,,1,6,2201.6,840,8835
Air India,CCU,BLR,1,,21,5,3022.67,900,11936
Jet Airways,DEL,COK,2,,9,6,2671.33,900,13882
Air India,DEL,COK,1,,1,4,2278.33,960,5117
Jet Airways,BLR,DEL,0,1.0,24,5,1709.71,120,4544
IndiGo,DEL,COK,1,,15,5,2084.71,900,6442
Air India,DEL,COK,2,,9,5,2993.1899999999996,1260,10441
IndiGo,BOM,HYD,0,,21,5,623.54,60,2227
Jet Airways,BLR,DEL,0,,15,4,1709.71,120,7229
Jet Airways,DEL,COK,1,1.0,1,6,2201.6,360,10262
Jet Airways,BLR,DEL,1,,12,3,1971.87,780,13817
SpiceJet,DEL,COK,1,,21,5,2077.09,240,5975
IndiGo,CCU,BLR,0,,21,3,1547.27,120,4148
Multiple carriers,DEL,COK,1,,6,6,2201.6,540,13587
Jet Airways,BOM,HYD,0,1.0,21,3,623.54,60,2759
Jet Airways,BLR,DEL,0,,15,5,1709.71,180,7229
Air India,DEL,COK,2,,9,5,2955.43,1440,13547
SpiceJet,CCU,BLR,0,,21,6,1547.27,120,3873
Jet Airways,CCU,BLR,1,,21,5,2500.36,720,14388
Jet Airways,CCU,BLR,1,,24,5,2500.36,900,13731
SpiceJet,CCU,BLR,0,2.0,27,3,1547.27,120,3815
Jet Airways,BOM,HYD,0,,15,3,623.54,60,5678
Jet Airways,CCU,BLR,1,1.0,9,5,2500.36,1440,9663
GoAir,CCU,BLR,1,,21,5,2842.31,420,8855
Jet Airways,DEL,COK,2,,9,5,2206.24,1080,15129
Jet Airways,BLR,DEL,1,,18,3,1971.87,360,13555
Jet Airways,CCU,BLR,1,1.0,21,5,2500.36,660,10844
Jet Airways,BLR,DEL,1,1.0,21,3,1971.87,540,7832
Jet Airways,DEL,COK,2,1.0,27,6,2263.95,780,11150
Vistara,CCU,BLR,1,,9,5,3022.67,840,8452
Multiple carriers,DEL,COK,1,,9,6,2084.71,360,9646
IndiGo,BLR,DEL,0,,24,6,1709.71,120,3943
GoAir,DEL,COK,1,,12,6,2201.6,300,5281
Air India,DEL,COK,2,,1,6,2955.43,840,14667
Jet Airways,CCU,BLR,1,,24,5,2500.36,780,14571
Jet Airways,BLR,DEL,1,5.0,1,3,1914.9,360,28097
Jet Airways,BLR,DEL,1,,6,3,1971.87,1320,17471
Jet Airways,DEL,COK,1,1.0,12,6,2201.6,660,10577
Multiple carriers,DEL,COK,1,,24,6,2201.6,420,14848
IndiGo,BLR,DEL,0,,15,4,1709.71,120,4591
IndiGo,MAA,CCU,0,,18,5,1387.26,120,3597
IndiGo,DEL,COK,1,,27,5,2084.71,360,6938
Air Asia,CCU,BLR,0,,24,6,1547.27,120,3807
Jet Airways,DEL,COK,1,1.0,12,6,2201.6,600,10262
Air India,CCU,BLR,2,,9,5,3295.61,720,11432
Jet Airways,BLR,DEL,0,,21,3,1709.71,120,7229
Multiple carriers,DEL,COK,1,,21,5,2201.6,420,14848
Jet Airways,CCU,BLR,1,1.0,15,5,2500.36,1020,8586
Multiple carriers,DEL,COK,1,,9,4,2201.6,480,6106
SpiceJet,CCU,BLR,0,,3,5,1547.27,120,3873
Jet Airways,DEL,COK,2,1.0,15,6,2335.87,420,15812
Jet Airways,CCU,BLR,1,,24,5,3022.67,1080,12121
Jet Airways,CCU,BLR,1,1.0,12,5,2500.36,780,8586
